Time,WristLeftX,WristLeftY,WristRightX,WristRightY
00:00:00.0810631,0.188504,0.1460555,-0.2501023,0.1361469
00:00:00.0960766,0.18815,0.1458554,-0.2501352,0.1358488
00:00:00.1301094,0.1882979,0.1455322,-0.2489404,0.1349661
00:00:00.1661438,0.1884742,0.1452932,-0.2488528,0.134935
00:00:00.2081837,0.1880807,0.1454344,-0.2490299,0.1348603
00:00:00.2342085,0.1880427,0.1451923,-0.2485435,0.134299
00:00:00.2632364,0.1880429,0.1451325,-0.2485872,0.1342273
00:00:00.2982700,0.1874965,0.1455841,-0.2482349,0.1345112
00:00:00.3413109,0.1870917,0.1462461,-0.248267,0.1345165
00:00:00.3653459,0.1864603,0.1474651,-0.2492045,0.1345817
00:00:00.3993664,0.1865215,0.1471201,-0.2488135,0.1344435
00:00:00.4323995,0.186266,0.1473562,-0.2479315,0.134677
00:00:00.4804439,0.1860359,0.1483966,-0.24798,0.1346212
00:00:00.5014708,0.185885,0.1480278,-0.2476034,0.1344739
00:00:00.5314925,0.1858459,0.1482009,-0.2476553,0.1347456
00:00:00.5675269,0.185348,0.1484827,-0.246831,0.1346641
00:00:00.6145723,0.1855658,0.1480187,-0.247086,0.1344649
00:00:00.6335903,0.1858452,0.1475993,-0.2470516,0.1346378
00:00:00.6646197,0.1862553,0.1467437,-0.2473232,0.1343241
00:00:00.6956495,0.1866151,0.1463478,-0.2481629,0.1347006
00:00:00.7456976,0.1868743,0.1457696,-0.2483717,0.1354061
00:00:00.7647153,0.1869693,0.1451948,-0.2484142,0.1353612
00:00:00.7977473,0.1869785,0.1455475,-0.2483514,0.1351292
00:00:00.8307784,0.1869455,0.1456408,-0.2479512,0.134891
00:00:00.8778231,0.1870243,0.1453404,-0.2483084,0.1344357
00:00:00.9068507,0.1872303,0.1452776,-0.2489179,0.134628
00:00:00.9288720,0.1873949,0.145156,-0.2488842,0.1345257
00:00:00.9619034,0.1875473,0.1450603,-0.2489868,0.1350155
00:00:01.0129520,0.1880307,0.1449458,-0.249202,0.1348661
00:00:01.0289676,0.1882216,0.1456604,-0.2485637,0.1352241
00:00:01.0670042,0.1883365,0.1455637,-0.2475089,0.1346535
00:00:01.0980337,0.1885163,0.1452594,-0.2471179,0.134268
00:00:01.1440776,0.1887783,0.1458129,-0.2478748,0.1346758
00:00:01.1681003,0.1885023,0.1469121,-0.2481398,0.1353848
00:00:01.1961270,0.1885004,0.1469704,-0.2473375,0.1353887
00:00:01.2281579,0.1884516,0.1465728,-0.2471415,0.1348667
00:00:01.2812084,0.1887509,0.1462692,-0.2471516,0.1344473
00:00:01.2992380,0.1886897,0.1461217,-0.2474767,0.1343477
